	TCR_401AB	TCR_403A	TCR_403B	TCR_464A	TCR_471A	TCR_663	TCR_668	TCR_669	TCR_672
clonotype131	1	1	1	1	1	1	1	1	1
clonotype132	1	1	1	1	1	1	1	1	1
clonotype133	1	1	1	1	1	1	1	1	1
clonotype134	1	1	1	1	1	1	1	1	1
clonotype135	1	1	1	1	1	1	1	1	1
clonotype136	1	1	1	1	1	1	1	1	1
clonotype137	1	1	1	1	1	1	1	1	1
clonotype138	1	1	1	1	1	1	1	1	1
clonotype139	1	1	1	1	1	1	1	1	1
clonotype140	1	1	1	1	1	1	1	1	1
clonotype141	1	1	1	1	1	1	1	1	1
clonotype142	1	1	1	1	1	1	1	1	1
clonotype143	1	1	1	1	1	1	1	1	1
clonotype144	1	1	1	1	1	1	1	1	1
clonotype145	1	1	1	1	1	1	1	1	1
clonotype146	1	1	1	1	1	1	1	1	1
clonotype147	1	1	1	1	1	1	1	1	1
clonotype148	1	1	1	1	1	1	1	1	1
clonotype149	1	1	1	1	1	1	1	1	1
clonotype150	1	1	1	1	1	1	1	1	1
clonotype151	1	1	1	1	1	1	1	1	1
clonotype152	1	1	1	1	1	1	1	1	1
clonotype153	1	1	1	1	1	1	1	1	1
clonotype154	1	1	1	1	1	1	1	1	1
clonotype155	1	1	1	1	1	1	1	1	1
clonotype156	1	1	1	1	1	1	1	1	1
clonotype157	1	1	1	1	1	1	1	1	1
clonotype158	1	1	1	1	1	1	1	1	1
clonotype159	1	1	1	1	1	1	1	1	1
clonotype160	1	1	1	1	1	1	1	1	1
clonotype161	1	1	1	1	1	1	1	1	1
clonotype162	1	1	1	1	1	1	1	1	1
clonotype163	1	1	1	1	1	1	1	1	1
clonotype164	1	1	1	1	1	1	1	1	1
clonotype165	1	1	1	1	1	1	1	1	1
clonotype166	1	1	1	1	1	1	1	1	1
clonotype167	1	1	1	1	1	1	1	1	1
clonotype168	1	1	1	1	1	1	1	1	1
clonotype169	1	1	1	1	1	1	1	1	1
clonotype170	1	1	1	1	1	1	1	1	0
clonotype171	1	1	1	1	1	1	1	1	1
clonotype172	1	1	1	1	1	1	1	1	1
clonotype173	1	1	1	1	1	1	1	1	1
clonotype174	1	1	1	1	1	1	1	1	1
clonotype175	1	1	1	1	1	1	1	1	1
clonotype176	1	1	1	1	1	1	1	1	1
clonotype177	1	1	1	1	1	1	1	1	1
clonotype178	1	1	1	1	1	1	1	1	1
clonotype179	1	1	1	1	1	1	1	1	1
clonotype180	1	1	1	1	1	1	1	1	1
clonotype181	1	1	1	1	1	1	1	1	1
clonotype182	1	1	1	1	1	1	1	1	1
clonotype183	1	1	1	1	1	1	1	1	1
clonotype184	1	1	1	1	1	1	1	1	1
clonotype185	1	1	1	1	1	1	1	1	1
clonotype186	1	1	1	1	1	1	1	1	1
clonotype187	1	1	1	1	1	1	1	1	0
clonotype188	1	1	1	1	1	1	1	1	1
clonotype189	1	1	1	1	1	1	1	1	1
clonotype190	1	1	1	1	1	1	1	1	1
clonotype191	1	1	1	1	1	1	1	1	1
clonotype192	1	1	1	1	1	1	1	1	1
clonotype193	1	1	1	1	1	1	1	1	1
clonotype194	1	1	1	1	1	1	1	1	1
clonotype195	1	1	1	1	1	1	1	1	1
clonotype196	1	1	1	1	1	1	1	1	1
clonotype197	1	1	1	1	1	1	1	1	1
clonotype198	1	1	1	1	1	1	1	1	1
clonotype199	1	1	1	1	1	1	1	1	1
clonotype200	1	1	1	1	1	1	1	1	1
clonotype201	1	1	1	1	1	1	1	1	1
clonotype202	1	1	1	1	1	1	1	1	1
clonotype203	1	1	1	1	1	1	1	1	1
clonotype204	1	1	1	1	1	1	1	1	1
clonotype205	1	1	1	1	1	1	1	1	1
clonotype206	1	1	1	1	1	1	1	1	1
clonotype207	1	1	1	1	1	1	1	1	1
clonotype208	1	1	1	1	1	1	1	1	1
clonotype209	1	1	1	1	1	1	1	1	1
clonotype210	1	1	1	1	1	1	1	1	1
clonotype211	1	1	1	1	1	1	1	1	1
clonotype212	1	1	1	1	1	1	1	1	1
clonotype213	1	1	1	1	1	1	1	1	1
clonotype214	1	1	1	1	1	1	1	1	1
clonotype215	1	1	1	1	1	1	1	1	1
clonotype216	1	1	1	1	1	1	1	1	1
clonotype217	1	1	1	1	1	1	1	1	1
clonotype218	1	1	1	1	1	1	1	1	1
clonotype219	1	1	1	1	1	1	1	1	1
clonotype220	1	1	1	1	1	1	1	1	1
clonotype221	1	1	1	1	0	1	1	1	1
clonotype222	1	1	1	1	1	1	1	1	1
clonotype223	1	1	1	1	1	1	1	1	1
clonotype224	1	1	1	1	1	1	1	1	1
clonotype225	1	1	1	1	1	1	1	1	1
clonotype226	1	1	1	1	1	1	1	1	1
clonotype227	1	1	1	1	1	1	1	1	1
clonotype228	1	1	1	1	1	1	1	1	1
clonotype229	1	1	1	1	1	1	1	1	1
clonotype230	1	1	1	1	1	1	1	1	0
clonotype231	1	1	1	1	1	1	1	1	1
clonotype232	1	1	1	1	1	1	1	1	1
clonotype233	1	1	1	1	1	1	1	1	1
clonotype234	1	1	1	1	1	1	1	1	1
clonotype235	1	1	1	1	1	1	1	1	1
clonotype236	1	1	1	1	1	1	1	1	1
clonotype237	1	1	1	1	1	1	1	1	0
clonotype238	1	1	1	1	1	1	1	1	1
clonotype239	1	1	1	1	1	1	1	1	1
clonotype240	1	1	1	1	1	1	1	1	1
clonotype241	1	1	1	1	1	1	1	1	1
clonotype242	1	1	1	1	1	1	1	1	1
clonotype243	1	1	1	1	1	1	1	1	1
clonotype244	1	1	1	1	1	1	1	1	1
clonotype245	1	1	1	1	1	1	1	1	1
clonotype246	1	1	1	1	1	1	1	1	1
clonotype247	1	1	1	1	1	1	1	1	1
clonotype248	1	1	1	1	1	1	1	1	1
clonotype249	1	1	1	1	1	1	1	1	1
clonotype250	1	1	1	1	1	1	1	1	1
clonotype251	1	1	1	1	1	1	1	1	1
clonotype252	1	1	1	1	1	1	1	1	1
clonotype253	1	1	1	1	1	1	1	1	1
clonotype254	1	1	1	1	1	1	1	1	1
clonotype255	1	1	1	1	1	1	1	1	1
clonotype256	1	1	1	1	1	1	1	0	1
clonotype257	1	1	1	1	1	1	1	1	1
clonotype258	1	1	1	1	1	1	1	1	1
clonotype259	1	1	1	1	1	1	1	1	1
clonotype260	1	1	1	1	1	1	1	1	1
clonotype261	1	1	1	1	1	1	1	1	1
clonotype262	1	1	1	1	1	1	1	1	1
clonotype263	1	1	1	1	1	1	1	1	1
clonotype264	1	1	1	1	1	1	1	1	1
clonotype265	1	1	1	1	1	1	1	1	1
clonotype266	1	1	1	1	1	1	1	1	1
clonotype267	1	1	1	1	1	1	1	1	1
clonotype268	1	1	1	1	1	1	1	1	1
clonotype269	1	1	1	1	1	1	1	1	1
clonotype270	1	1	1	1	1	1	1	1	1
clonotype271	1	1	1	1	1	1	1	1	1
clonotype272	1	1	1	1	1	1	1	1	1
clonotype273	1	1	1	1	1	1	1	1	1
clonotype274	1	1	1	1	1	1	1	1	1
clonotype275	1	1	1	1	1	1	1	1	1
clonotype276	1	1	1	1	1	1	1	1	1
clonotype277	1	1	1	1	1	1	1	1	1
clonotype278	1	1	1	1	1	1	1	1	1
clonotype279	1	1	1	1	1	1	1	1	1
clonotype280	1	1	1	1	1	1	1	1	1
clonotype281	1	1	1	1	1	1	1	1	1
clonotype282	1	1	1	1	1	1	1	1	1
clonotype283	1	1	1	1	1	1	1	1	1
clonotype284	1	1	1	1	1	1	0	1	1
clonotype285	1	1	1	1	1	1	1	1	1
clonotype286	1	1	1	1	1	1	1	1	1
clonotype287	1	1	1	1	1	1	1	1	1
clonotype288	1	1	1	1	1	1	1	1	1
clonotype289	1	1	1	1	1	1	1	1	1
clonotype290	1	1	1	1	1	1	1	1	1
clonotype291	1	1	1	1	1	1	1	1	1
clonotype292	1	1	1	1	1	0	1	1	1
clonotype293	1	1	1	1	1	1	1	1	1
clonotype294	1	1	1	1	1	1	1	1	1
clonotype295	1	1	1	1	1	1	1	1	1
clonotype296	1	1	1	1	1	1	1	1	1
clonotype297	1	1	1	1	1	1	1	1	1
clonotype298	1	1	1	1	1	1	1	1	1
clonotype299	1	1	1	1	1	1	1	1	1
clonotype300	1	1	1	1	1	1	1	1	1
clonotype301	1	1	1	1	1	1	1	1	1
clonotype302	1	1	1	1	1	1	1	1	1
clonotype303	1	1	1	1	1	1	1	1	1
clonotype304	1	1	1	1	1	1	1	1	1
clonotype305	1	1	1	1	1	1	1	1	1
clonotype306	1	1	1	1	1	1	1	1	1
clonotype307	1	1	1	1	1	1	1	1	1
clonotype308	1	1	1	1	1	1	1	1	1
clonotype309	1	1	1	1	1	1	1	1	1
clonotype310	1	1	1	1	1	1	1	1	1
clonotype311	1	1	1	1	1	1	1	1	1
clonotype312	1	1	1	1	1	1	1	1	1
clonotype313	1	1	1	1	1	1	1	1	1
clonotype314	1	1	1	1	1	1	1	1	1
clonotype315	1	1	1	1	1	1	1	1	1
clonotype316	1	1	1	1	1	1	1	1	1
clonotype317	1	1	1	1	1	1	1	1	1
clonotype318	1	1	1	1	1	1	1	1	1
clonotype319	1	1	1	1	1	1	1	1	1
clonotype320	1	1	1	1	1	1	1	1	1
