	TCR_401AB	TCR_403A	TCR_403B	TCR_464A	TCR_471A	TCR_663	TCR_668	TCR_669	TCR_672
clonotype821	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype822	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype823	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype824	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype825	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype826	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype827	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype828	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype829	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype830	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype831	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype832	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype833	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype834	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype835	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype836	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype837	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype838	0	0	0	0	0.08	0	0.08	0.04	0.04
clonotype839	0	0	0	0	0.08	0.05	0.08	0.04	0
clonotype840	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype841	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype842	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype843	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype844	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype845	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype846	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype847	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype848	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype849	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype850	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype851	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype852	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype853	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype854	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype855	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype856	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype857	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype858	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype859	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype860	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype861	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype862	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype863	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype864	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype865	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype866	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype867	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype868	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype869	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype870	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype871	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype872	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype873	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype874	0	0	0	0	0.08	0.05	0.08	0.04	0.04
clonotype875	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype876	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype877	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype878	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype879	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype880	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype881	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype882	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype883	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype884	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype885	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype886	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype887	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype888	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype889	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype890	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype891	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype892	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype893	0	0	0	0	0	0	0.08	0.04	0.04
clonotype894	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype895	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype896	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype897	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype898	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype899	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype900	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype901	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype902	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype903	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype904	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype905	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype906	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype907	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype908	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype909	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype910	0	0	0	0	0	0.05	0	0.04	0.04
clonotype911	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype912	0	0	0	0	0	0.05	0	0.04	0.04
clonotype913	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype914	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype915	0	0	0	0	0	0.05	0.08	0.04	0.04
clonotype916	0	0	0	0	0	0.05	0	0.04	0.04
clonotype917	0	0	0	0	0	0.05	0	0.04	0.04
clonotype918	0	0	0	0	0	0.05	0	0.04	0.04
clonotype919	0	0	0	0	0	0.05	0	0.04	0.04
clonotype920	0	0	0	0	0	0.05	0	0.04	0.04
clonotype921	0	0	0	0	0	0.05	0	0.04	0.04
clonotype922	0	0	0	0	0	0.05	0	0.04	0.04
clonotype923	0	0	0	0	0	0.05	0	0.04	0.04
clonotype924	0	0	0	0	0	0.05	0	0.04	0.04
clonotype925	0	0	0	0	0	0.05	0	0.04	0.04
clonotype926	0	0	0	0	0	0.05	0	0.04	0.04
clonotype927	0	0	0	0	0	0.05	0	0.04	0.04
clonotype928	0	0	0	0	0	0.05	0	0.04	0.04
clonotype929	0	0	0	0	0	0.05	0	0.04	0.04
clonotype930	0	0	0	0	0	0.05	0	0.04	0.04
clonotype931	0	0	0	0	0	0.05	0	0.04	0.04
clonotype932	0	0	0	0	0	0.05	0	0.04	0.04
clonotype933	0	0	0	0	0	0.05	0	0.04	0.04
clonotype934	0	0	0	0	0	0.05	0	0.04	0.04
clonotype935	0	0	0	0	0	0.05	0	0.04	0.04
clonotype936	0	0	0	0	0	0.05	0	0.04	0.04
clonotype937	0	0	0	0	0	0.05	0	0.04	0.04
clonotype938	0	0	0	0	0	0.05	0	0.04	0.04
clonotype939	0	0	0	0	0	0.05	0	0.04	0.04
clonotype940	0	0	0	0	0	0.05	0	0.04	0.04
clonotype941	0	0	0	0	0	0.05	0	0.04	0.04
clonotype942	0	0	0	0	0	0.05	0	0	0.04
clonotype943	0	0	0	0	0	0.05	0	0.04	0.04
clonotype944	0	0	0	0	0	0.05	0	0.04	0.04
clonotype945	0	0	0	0	0	0.05	0	0.04	0.04
clonotype946	0	0	0	0	0	0	0	0.04	0.04
clonotype947	0	0	0	0	0	0.05	0	0.04	0.04
clonotype948	0	0	0	0	0	0.05	0	0.04	0.04
clonotype949	0	0	0	0	0	0.05	0	0.04	0
clonotype950	0	0	0	0	0	0.05	0	0.04	0.04
clonotype951	0	0	0	0	0	0.05	0	0.04	0.04
clonotype952	0	0	0	0	0	0.05	0	0.04	0.04
clonotype953	0	0	0	0	0	0.05	0	0.04	0.04
clonotype954	0	0	0	0	0	0.05	0	0.04	0.04
clonotype955	0	0	0	0	0	0.05	0	0.04	0.04
clonotype956	0	0	0	0	0	0.05	0	0.04	0.04
clonotype957	0	0	0	0	0	0.05	0	0.04	0.04
clonotype958	0	0	0	0	0	0.05	0	0.04	0.04
clonotype959	0	0	0	0	0	0.05	0	0.04	0.04
clonotype960	0	0	0	0	0	0.05	0	0.04	0.04
clonotype961	0	0	0	0	0	0.05	0	0.04	0.04
clonotype962	0	0	0	0	0	0.05	0	0.04	0.04
clonotype963	0	0	0	0	0	0.05	0	0.04	0.04
clonotype964	0	0	0	0	0	0.05	0	0.04	0.04
clonotype965	0	0	0	0	0	0.05	0	0.04	0.04
clonotype966	0	0	0	0	0	0.05	0	0.04	0.04
clonotype967	0	0	0	0	0	0.05	0	0.04	0.04
clonotype968	0	0	0	0	0	0.05	0	0.04	0.04
clonotype969	0	0	0	0	0	0.05	0	0.04	0.04
clonotype970	0	0	0	0	0	0.05	0	0.04	0.04
clonotype971	0	0	0	0	0	0.05	0	0.04	0.04
clonotype972	0	0	0	0	0	0.05	0	0.04	0.04
clonotype973	0	0	0	0	0	0.05	0	0.04	0.04
clonotype974	0	0	0	0	0	0.05	0	0.04	0.04
clonotype975	0	0	0	0	0	0.05	0	0.04	0.04
clonotype976	0	0	0	0	0	0.05	0	0.04	0.04
clonotype977	0	0	0	0	0	0.05	0	0.04	0.04
clonotype978	0	0	0	0	0	0.05	0	0.04	0.04
clonotype979	0	0	0	0	0	0.05	0	0.04	0.04
clonotype980	0	0	0	0	0	0.05	0	0.04	0.04
clonotype981	0	0	0	0	0	0.05	0	0.04	0.04
clonotype982	0	0	0	0	0	0.05	0	0.04	0.04
clonotype983	0	0	0	0	0	0.05	0	0.04	0.04
clonotype984	0	0	0	0	0	0.05	0	0.04	0.04
clonotype985	0	0	0	0	0	0.05	0	0.04	0.04
clonotype986	0	0	0	0	0	0.05	0	0.04	0.04
clonotype987	0	0	0	0	0	0.05	0	0.04	0.04
clonotype988	0	0	0	0	0	0.05	0	0.04	0.04
clonotype989	0	0	0	0	0	0.05	0	0.04	0.04
clonotype990	0	0	0	0	0	0.05	0	0.04	0.04
clonotype991	0	0	0	0	0	0.05	0	0.04	0.04
clonotype992	0	0	0	0	0	0.05	0	0.04	0.04
clonotype993	0	0	0	0	0	0.05	0	0.04	0.04
clonotype994	0	0	0	0	0	0.05	0	0.04	0.04
clonotype995	0	0	0	0	0	0.05	0	0.04	0.04
clonotype996	0	0	0	0	0	0.05	0	0.04	0.04
clonotype997	0	0	0	0	0	0.05	0	0.04	0.04
clonotype998	0	0	0	0	0	0.05	0	0.04	0.04
clonotype999	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1000	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1001	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1002	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1003	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1004	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1005	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1006	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1007	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1008	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1009	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1010	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1011	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1012	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1013	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1014	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1015	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1016	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1017	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1018	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1019	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1020	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1021	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1022	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1023	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1024	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1025	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1026	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1027	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1028	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1029	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1030	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1031	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1032	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1033	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1034	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1035	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1036	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1037	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1038	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1039	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1040	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1041	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1042	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1043	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1044	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1045	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1046	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1047	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1048	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1049	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1050	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1051	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1052	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1053	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1054	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1055	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1056	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1057	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1058	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1059	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1060	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1061	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1062	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1063	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1064	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1065	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1066	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1067	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1068	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1069	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1070	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1071	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1072	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1073	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1074	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1075	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1076	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1077	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1078	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1079	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1080	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1081	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1082	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1083	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1084	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1085	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1086	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1087	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1088	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1089	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1090	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1091	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1092	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1093	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1094	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1095	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1096	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1097	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1098	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1099	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1100	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1101	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1102	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1103	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1104	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1105	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1106	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1107	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1108	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1109	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1110	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1111	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1112	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1113	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1114	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1115	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1116	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1117	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1118	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1119	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1120	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1121	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1122	0	0	0	0	0	0	0	0.04	0.04
clonotype1123	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1124	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1125	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1126	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1127	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1128	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1129	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1130	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1131	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1132	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1133	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1134	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1135	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1136	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1137	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1138	0	0	0	0	0	0.05	0	0	0.04
clonotype1139	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1140	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1141	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1142	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1143	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1144	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1145	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1146	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1147	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1148	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1149	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1150	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1151	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1152	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1153	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1154	0	0	0	0	0	0.05	0	0	0.04
clonotype1155	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1156	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1157	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1158	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1159	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1160	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1161	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1162	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1163	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1164	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1165	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1166	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1167	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1168	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1169	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1170	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1171	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1172	0	0	0	0	0	0.05	0	0.04	0
clonotype1173	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1174	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1175	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1176	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1177	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1178	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1179	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1180	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1181	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1182	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1183	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1184	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1185	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1186	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1187	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1188	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1189	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1190	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1191	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1192	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1193	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1194	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1195	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1196	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1197	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1198	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1199	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1200	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1201	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1202	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1203	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1204	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1205	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1206	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1207	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1208	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1209	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1210	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1211	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1212	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1213	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1214	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1215	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1216	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1217	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1218	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1219	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1220	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1221	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1222	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1223	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1224	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1225	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1226	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1227	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1228	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1229	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1230	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1231	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1232	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1233	0	0	0	0	0	0.05	0	0.04	0
clonotype1234	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1235	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1236	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1237	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1238	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1239	0	0	0	0	0	0.05	0	0	0.04
clonotype1240	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1241	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1242	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1243	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1244	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1245	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1246	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1247	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1248	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1249	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1250	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1251	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1252	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1253	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1254	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1255	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1256	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1257	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1258	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1259	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1260	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1261	0	0	0	0	0	0.05	0	0	0.04
clonotype1262	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1263	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1264	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1265	0	0	0	0	0	0.05	0	0.04	0.04
clonotype1266	0	0	0	0	0	0.05	0	0.04	0.04
